unix,temp_value,flow_value,vibration_value
1551194406,74.16797,3.17927,1.0669
1551194408,74.16797,3.17927,1.08242
1551194409,74.16797,3.1795,1.1057
1551194410,74.16797,3.17904,1.08242
1551194412,74.16797,3.17881,0.79914
1551194413,74.16797,3.17881,0.81466
1551194414,74.16797,3.17927,0.79914
1551194416,74.16797,3.1795,0.84183
1551194418,74.16797,3.17904,0.83018
1551194419,74.16797,3.17927,0.97376
1551194420,74.03125,3.17881,1.01257
1551194422,74.14063,3.17927,2.3397
1551194423,74.14063,3.17904,2.3591
1551194424,74.16797,3.17904,2.39791
1551194426,74.19531,3.17927,2.55313
1551194427,74.14063,3.17904,2.45611
1551194429,74.16797,3.17927,2.49492
1551194430,74.16797,3.17927,2.51044
1551194431,74.16797,3.17904,2.5376
1551194433,74.16797,3.17927,2.60357
1551194434,74.05859,3.17927,2.58029
1551194435,74.03125,3.17904,2.44059
1551194437,74.03125,3.17881,1.68001
1551194438,74.03125,3.17927,1.07078
1551194440,74.03125,3.17927,1.07854
1551194441,74.05859,3.17927,1.09018
1551194442,74.03125,3.17904,1.11734
1551194444,74.05859,3.17904,0.93108
1551194445,74.05859,3.17904,0.08125
1551194447,74.05859,0.60691,0.0502
1551194448,74.05859,0.04902,0.0114
1551194449,74.05859,0.04902,0.07737
1551194451,74.05859,0.04925,0.03856
1551194452,74.03125,0.04902,0.02353
1551194454,74.05859,0.04902,0.03468
1551194455,74.05859,0.04902,0.00752
1551194457,74.05859,0.04925,0.01528
1551194458,74.05859,0.04925,0.008
1551194459,74.05859,0.04925,0.01188
1551194461,74.05859,0.04902,0.00364
1551194462,74.05859,0.04856,0.02304
1551194463,74.05859,0.04925,0.10065
1551194465,74.05859,0.04925,1.27644
1551194466,74.05859,0.04879,0.03468
1551194468,74.05859,0.04902,0.01965
1551194469,74.03125,0.04925,0.08125
1551194470,74.05859,0.04902,0.02353
1551194472,74.03125,2.98972,0.53915
1551194473,74.03125,3.17789,0.52751
1551194474,74.03125,3.17858,0.54691
1551194476,74.03125,3.17835,0.55855
1551194477,74.05859,3.17858,0.86511
1551194478,74.03125,3.17858,0.85735
1551194480,74.03125,3.17881,0.89227
1551194481,74.03125,3.17904,0.93108
1551194483,74.03125,3.17904,2.32418
1551194484,74.03125,3.17881,2.34358
1551194485,74.03125,3.17881,2.44059
1551194487,74.05859,3.17858,2.39403
1551194488,74.03125,3.17881,2.37074
1551194490,74.03125,3.17904,2.47552
1551194491,74.05859,3.17881,2.57641
1551194492,74.03125,3.17904,2.49492
1551194494,74.16797,3.17881,2.48716
1551194495,74.19531,3.17904,2.46388
1551194496,74.16797,3.17858,2.52596
1551194498,74.16797,3.17904,2.46776
1551194499,74.16797,3.17904,1.05525
1551194500,74.16797,3.17927,1.10958
1551194502,74.16797,3.17904,1.10958
1551194503,74.19531,3.17904,1.11734
1551194505,74.14063,3.17927,1.31137
1551194506,74.16797,3.17927,0.7681
1551194507,74.16797,3.17881,0.75257
1551194509,74.14063,3.17881,0.77198
1551194510,74.16797,3.17904,0.81078
1551194511,74.14063,3.17904,0.86123
1551194513,74.14063,3.17904,0.9272
1551194514,74.16797,3.17927,0.9854
1551194516,74.16797,3.17904,2.31254
1551194517,74.16797,3.17904,2.40179
1551194518,74.16797,3.17904,2.40567
1551194520,74.14063,3.17927,2.43671
1551194521,74.16797,3.17881,2.51432
1551194523,74.14063,3.17927,2.63074
1551194524,74.16797,3.17927,2.66178
1551194525,74.16797,3.17904,2.54537
1551194527,74.16797,3.17927,2.57641
1551194528,74.16797,3.1795,2.62686
1551194530,74.14063,3.1795,2.56865
1551194531,74.30469,3.17927,1.14839
1551194533,74.30469,3.17904,1.0669
1551194534,74.27734,3.17881,1.10182
1551194535,74.30469,3.17904,1.08242
1551194537,74.27734,3.17904,1.12898
1551194538,74.30469,3.17927,0.82242
1551194539,74.27734,3.17881,0.10841
1551194541,74.30469,0.57098,0.0114
1551194542,74.30469,0.0481,0.01528
1551194544,74.30469,0.04902,0.09677
1551194545,74.30469,0.04902,0.03468
1551194546,74.30469,0.04879,0.01528
1551194548,74.33203,0.04902,0.04632
1551194549,74.30469,0.04879,0.03468
